date,time,currency,impact,event
Feb 2,6:50pm,JPY,yellow,BOJ Summary of Opinions
Feb 2,7:00pm,AUD,yellow,MI Inflation Gauge m/m
Feb 2,7:30pm,AUD,orange,Retail Sales m/m
Feb 2,7:30pm,AUD,yellow,ANZ Job Advertisements m/m
Feb 2,7:30pm,AUD,yellow,Building Approvals m/m
Feb 2,7:30pm,JPY,yellow,Final Manufacturing PMI
Feb 2,All Day,CNY,gray,Bank Holiday
Feb 2,8:45pm,CNY,yellow,Caixin Manufacturing PMI
Feb 3,12:30am,AUD,yellow,Commodity Prices y/y
Feb 3,3:15am,EUR,yellow,Spanish Manufacturing PMI
Feb 3,3:30am,CHF,yellow,Manufacturing PMI
Feb 3,3:45am,EUR,yellow,Italian Manufacturing PMI
Feb 3,3:50am,EUR,yellow,French Final Manufacturing PMI
Feb 3,3:55am,EUR,yellow,German Final Manufacturing PMI
Feb 3,4:00am,EUR,yellow,Final Manufacturing PMI
Feb 3,4:30am,GBP,yellow,Final Manufacturing PMI
Feb 3,5:00am,EUR,orange,Core CPI Flash Estimate y/y
Feb 3,5:00am,EUR,orange,CPI Flash Estimate y/y
Feb 3,5:00am,EUR,yellow,Italian Prelim CPI m/m
Feb 3,All Day,All,orange,OPEC-JMMC Meetings
Feb 3,9:30am,CAD,yellow,Manufacturing PMI
Feb 3,9:45am,USD,orange,Final Manufacturing PMI
Feb 3,10:00am,USD,red,ISM Manufacturing PMI
Feb 3,10:00am,USD,orange,ISM Manufacturing Prices
Feb 3,10:00am,USD,yellow,Construction Spending m/m
Feb 3,All Day,USD,yellow,Wards Total Vehicle Sales
Feb 3,12:30pm,USD,yellow,FOMC Member Bostic Speaks
Feb 3,2:00pm,USD,yellow,Loan Officer Survey
Feb 3,4:45pm,NZD,yellow,Building Consents m/m
Feb 3,6:30pm,USD,yellow,FOMC Member Musalem Speaks
Feb 3,6:50pm,JPY,yellow,Monetary Base y/y
Feb 3,10:35pm,JPY,yellow,10-y Bond Auction
Feb 4,2:45am,EUR,yellow,French Gov Budget Balance
Feb 4,3:00am,EUR,yellow,Spanish Unemployment Change
Feb 4,10:00am,USD,red,JOLTS Job Openings
Feb 4,10:00am,USD,yellow,Factory Orders m/m
Feb 4,10:02am,NZD,yellow,GDT Price Index
Feb 4,10:07am,USD,yellow,RCM/TIPP Economic Optimism
Feb 4,11:00am,USD,yellow,FOMC Member Bostic Speaks
Feb 4,2:00pm,USD,yellow,FOMC Member Daly Speaks
Feb 4,4:45pm,NZD,red,Employment Change q/q
Feb 4,4:45pm,NZD,red,Unemployment Rate
Feb 4,4:45pm,NZD,yellow,Labor Cost Index q/q
Feb 4,5:10pm,USD,red,President Trump Speaks
Feb 4,6:30pm,JPY,yellow,Average Cash Earnings y/y
Feb 4,7:00pm,NZD,yellow,ANZ Commodity Prices m/m
Feb 4,7:30pm,USD,yellow,FOMC Member Jefferson Speaks
Feb 4,8:45pm,CNY,yellow,Caixin Services PMI
Feb 5,2:45am,EUR,yellow,French Industrial Production m/m
Feb 5,3:15am,EUR,yellow,Spanish Services PMI
Feb 5,3:45am,EUR,yellow,Italian Services PMI
Feb 5,3:50am,EUR,yellow,French Final Services PMI
Feb 5,3:55am,EUR,yellow,German Final Services PMI
Feb 5,4:00am,EUR,yellow,Final Services PMI
Feb 5,4:00am,EUR,yellow,Italian Retail Sales m/m
Feb 5,4:30am,GBP,yellow,Final Services PMI
Feb 5,5:00am,EUR,yellow,PPI m/m
Feb 5,7:30am,USD,yellow,FOMC Member Barkin Speaks
Feb 5,8:15am,USD,red,ADP Non-Farm Employment Change
Feb 5,8:30am,CAD,yellow,Trade Balance
Feb 5,8:30am,USD,yellow,Trade Balance
Feb 5,9:00am,USD,yellow,FOMC Member Barkin Speaks
Feb 5,9:45am,USD,orange,Final Services PMI
Feb 5,10:00am,USD,red,ISM Services PMI
Feb 5,10:30am,USD,orange,Crude Oil Inventories
Feb 5,2:30pm,USD,yellow,FOMC Member Goolsbee Speaks
Feb 5,3:00pm,USD,yellow,FOMC Member Bowman Speaks
Feb 5,All Day,NZD,gray,Bank Holiday
Feb 5,7:30pm,AUD,yellow,Goods Trade Balance
Feb 5,7:30pm,USD,yellow,FOMC Member Jefferson Speaks
Feb 5,7:45pm,AUD,yellow,NAB Quarterly Business Confidence
Feb 5,10:35pm,JPY,yellow,30-y Bond Auction
Feb 6,1:45am,CHF,yellow,Unemployment Rate
Feb 6,2:00am,EUR,yellow,German Factory Orders m/m
Feb 6,4:30am,GBP,orange,Construction PMI
Feb 6,5:00am,EUR,yellow,Retail Sales m/m
Feb 6,5:02am,EUR,yellow,French 10-y Bond Auction
Feb 6,7:00am,GBP,red,BOE Monetary Policy Report
Feb 6,7:00am,GBP,red,Monetary Policy Summary
Feb 6,7:00am,GBP,red,MPC Official Bank Rate Votes
Feb 6,7:00am,GBP,red,Official Bank Rate
Feb 6,7:30am,GBP,red,BOE Gov Bailey Speaks
Feb 6,7:30am,USD,yellow,Challenger Job Cuts y/y
Feb 6,8:30am,USD,red,Unemployment Claims
Feb 6,8:30am,USD,yellow,Prelim Nonfarm Productivity q/q
Feb 6,8:30am,USD,yellow,Prelim Unit Labor Costs q/q
Feb 6,10:00am,CAD,orange,Ivey PMI
Feb 6,10:00am,USD,yellow,Mortgage Delinquencies
Feb 6,10:30am,USD,yellow,Natural Gas Storage
Feb 6,2:30pm,USD,orange,FOMC Member Waller Speaks
Feb 6,3:30pm,USD,yellow,FOMC Member Daly Speaks
Feb 6,4:05pm,GBP,red,BOE Gov Bailey Speaks
Feb 6,5:10pm,USD,yellow,FOMC Member Logan Speaks
Feb 6,6:30pm,JPY,yellow,Household Spending y/y
Feb 7,12:00am,JPY,yellow,Leading Indicators
Feb 7,2:00am,EUR,yellow,German Industrial Production m/m
Feb 7,2:00am,EUR,yellow,German Trade Balance
Feb 7,2:00am,GBP,yellow,Halifax HPI m/m
Feb 7,2:45am,EUR,yellow,French Prelim Private Payrolls q/q
Feb 7,2:45am,EUR,yellow,French Trade Balance
Feb 7,3:00am,CHF,yellow,Foreign Currency Reserves
Feb 7,3:00am,CHF,yellow,SECO Consumer Climate
Feb 7,7:15am,GBP,yellow,MPC Member Pill Speaks
Feb 7,8:30am,CAD,red,Employment Change
Feb 7,8:30am,CAD,red,Unemployment Rate
