date,time,currency,impact,event
Mar 2,2:45pm,NZD,yellow,Overseas Trade Index q/q
Mar 2,5:00pm,AUD,yellow,MI Inflation Gauge m/m
Mar 2,5:30pm,AUD,yellow,ANZ Job Advertisements m/m
Mar 2,5:30pm,AUD,yellow,Company Operating Profits q/q
Mar 2,5:30pm,JPY,yellow,Final Manufacturing PMI
Mar 2,6:45pm,CNY,yellow,Caixin Manufacturing PMI
Mar 2,10:30pm,AUD,yellow,Commodity Prices y/y
Mar 3,1:15am,EUR,yellow,Spanish Manufacturing PMI
Mar 3,1:30am,CHF,yellow,Manufacturing PMI
Mar 3,1:45am,EUR,yellow,Italian Manufacturing PMI
Mar 3,1:50am,EUR,yellow,French Final Manufacturing PMI
Mar 3,1:55am,EUR,yellow,German Final Manufacturing PMI
Mar 3,2:00am,EUR,yellow,Final Manufacturing PMI
Mar 3,2:30am,GBP,yellow,Final Manufacturing PMI
Mar 3,2:30am,GBP,yellow,M4 Money Supply m/m
Mar 3,2:30am,GBP,yellow,Mortgage Approvals
Mar 3,2:30am,GBP,yellow,Net Lending to Individuals m/m
Mar 3,3:00am,EUR,orange,Core CPI Flash Estimate y/y
Mar 3,3:00am,EUR,orange,CPI Flash Estimate y/y
Mar 3,7:30am,CAD,yellow,Manufacturing PMI
Mar 3,7:45am,USD,orange,Final Manufacturing PMI
Mar 3,8:00am,USD,red,ISM Manufacturing PMI
Mar 3,8:00am,USD,orange,ISM Manufacturing Prices
Mar 3,8:00am,USD,yellow,Construction Spending m/m
Mar 3,All Day,USD,yellow,Wards Total Vehicle Sales
Mar 3,10:05am,USD,yellow,FOMC Member Musalem Speaks
Mar 3,12:39pm,USD,orange,President Trump Speaks
Mar 3,2:45pm,NZD,yellow,Building Consents m/m
Mar 3,4:30pm,JPY,yellow,Unemployment Rate
Mar 3,4:50pm,JPY,yellow,Capital Spending q/y
Mar 3,4:50pm,JPY,yellow,Monetary Base y/y
Mar 3,5:01pm,GBP,yellow,BRC Shop Price Index y/y
Mar 3,5:30pm,AUD,orange,Monetary Policy Meeting Minutes
Mar 3,5:30pm,AUD,orange,Retail Sales m/m
Mar 3,5:30pm,AUD,yellow,Current Account
Mar 3,8:35pm,JPY,yellow,10-y Bond Auction
Mar 3,10:00pm,JPY,yellow,Consumer Confidence
Mar 4,12:45am,EUR,yellow,French Gov Budget Balance
Mar 4,1:00am,EUR,yellow,Spanish Unemployment Change
Mar 4,2:00am,EUR,yellow,Italian Monthly Unemployment Rate
Mar 4,3:00am,EUR,yellow,Unemployment Rate
Mar 4,3:03am,GBP,yellow,30-y Bond Auction
Mar 4,7:32am,NZD,yellow,GDT Price Index
Mar 4,8:06am,USD,yellow,RCM/TIPP Economic Optimism
Mar 4,12:20pm,USD,yellow,FOMC Member Williams Speaks
Mar 4,2:45pm,AUD,yellow,RBA Deputy Gov Hauser Speaks
Mar 4,5:00pm,NZD,yellow,ANZ Commodity Prices m/m
Mar 4,5:30pm,AUD,red,GDP q/q
Mar 4,5:30pm,JPY,orange,BOJ Gov Ueda Speaks
Mar 4,6:45pm,CNY,yellow,Caixin Services PMI
Mar 4,7:10pm,USD,red,President Trump Speaks
Mar 5,12:30am,CHF,red,CPI m/m
Mar 5,12:45am,EUR,yellow,French Industrial Production m/m
Mar 5,1:15am,EUR,yellow,Spanish Services PMI
Mar 5,1:45am,EUR,yellow,Italian Services PMI
Mar 5,1:50am,EUR,yellow,French Final Services PMI
Mar 5,1:55am,EUR,yellow,German Final Services PMI
Mar 5,2:00am,EUR,yellow,Final Services PMI
Mar 5,2:30am,GBP,yellow,Final Services PMI
Mar 5,3:00am,EUR,yellow,PPI m/m
Mar 5,3:00am,EUR,yellow,Italian Retail Sales m/m
Mar 5,6:15am,USD,red,ADP Non-Farm Employment Change
Mar 5,6:30am,CAD,yellow,Labor Productivity q/q
Mar 5,7:30am,GBP,orange,Monetary Policy Report Hearings
Mar 5,7:45am,USD,orange,Final Services PMI
Mar 5,8:00am,USD,red,ISM Services PMI
Mar 5,8:00am,USD,yellow,Factory Orders m/m
Mar 5,8:30am,USD,yellow,Crude Oil Inventories
Mar 5,12:00pm,USD,yellow,Beige Book
Mar 5,1:30pm,NZD,orange,RBNZ Gov Orr Speaks
Mar 5,5:30pm,AUD,yellow,Building Approvals m/m
Mar 5,5:30pm,AUD,yellow,Goods Trade Balance
Mar 5,8:35pm,JPY,yellow,30-y Bond Auction
Mar 5,11:45pm,CHF,yellow,Unemployment Rate
Mar 6,2:30am,GBP,orange,Construction PMI
Mar 6,2:40am,EUR,yellow,Spanish 10-y Bond Auction
Mar 6,2:59am,EUR,yellow,French 10-y Bond Auction
Mar 6,3:00am,EUR,yellow,Retail Sales m/m
Mar 6,All Day,EUR,red,Euro Summit
Mar 6,5:30am,USD,yellow,Challenger Job Cuts y/y
Mar 6,6:15am,EUR,red,Main Refinancing Rate
Mar 6,6:15am,EUR,red,Monetary Policy Statement
Mar 6,6:30am,CAD,yellow,Trade Balance
Mar 6,6:30am,USD,red,Unemployment Claims
Mar 6,6:30am,USD,yellow,Revised Nonfarm Productivity q/q
Mar 6,6:30am,USD,yellow,Revised Unit Labor Costs q/q
Mar 6,6:30am,USD,yellow,Trade Balance
Mar 6,6:45am,EUR,red,ECB Press Conference
Mar 6,6:45am,USD,yellow,FOMC Member Harker Speaks
Mar 6,8:00am,CAD,orange,Ivey PMI
Mar 6,8:00am,GBP,yellow,MPC Member Mann Speaks
Mar 6,8:00am,USD,yellow,Final Wholesale Inventories m/m
Mar 6,8:30am,USD,yellow,Natural Gas Storage
Mar 6,12:39pm,USD,orange,President Trump Speaks
Mar 6,1:30pm,USD,orange,FOMC Member Waller Speaks
Mar 6,5:00pm,USD,yellow,FOMC Member Bostic Speaks
Mar 6,8:02pm,CNY,yellow,USD-Denominated Trade Balance
Mar 6,8:03pm,CNY,yellow,Trade Balance
Mar 7,12:00am,EUR,yellow,German Factory Orders m/m
Mar 7,12:00am,GBP,yellow,Halifax HPI m/m
Mar 7,12:45am,EUR,yellow,French Trade Balance
Mar 7,1:00am,CHF,yellow,Foreign Currency Reserves
Mar 7,2:30am,EUR,orange,ECB President Lagarde Speaks
Mar 7,3:00am,EUR,yellow,Final Employment Change q/q
Mar 7,3:00am,EUR,yellow,Revised GDP q/q
Mar 7,6:30am,CAD,red,Employment Change
Mar 7,6:30am,CAD,red,Unemployment Rate
Mar 7,6:30am,CAD,yellow,Capacity Utilization Rate
Mar 7,6:30am,USD,red,Average Hourly Earnings m/m
Mar 7,6:30am,USD,red,Non-Farm Employment Change
Mar 7,6:30am,USD,red,Unemployment Rate
Mar 7,8:15am,USD,yellow,FOMC Member Bowman Speaks
Mar 7,8:45am,USD,yellow,FOMC Member Williams Speaks
Mar 7,9:00am,USD,orange,President Trump Speaks
Mar 7,10:20am,USD,yellow,FOMC Member Kugler Speaks
Mar 7,10:30am,USD,red,Fed Chair Powell Speaks
Mar 7,11:00am,USD,yellow,FOMC Member Kugler Speaks
Mar 7,1:00pm,USD,orange,President Trump Speaks
Mar 7,1:00pm,USD,yellow,Consumer Credit m/m
Mar 8,6:30pm,CNY,orange,CPI y/y
Mar 8,6:30pm,CNY,orange,PPI y/y
Mar 9,12:00am,CAD,gray,Daylight Saving Time Shift
Mar 9,12:00am,USD,gray,Daylight Saving Time Shift
Mar 9,5:30pm,JPY,yellow,Average Cash Earnings y/y
Mar 9,5:50pm,JPY,yellow,Bank Lending y/y
Mar 9,5:50pm,JPY,yellow,Current Account
Mar 9,11:00pm,JPY,yellow,Leading Indicators
Mar 10,12:00am,JPY,yellow,Economy Watchers Sentiment
Mar 10,1:00am,EUR,yellow,German Industrial Production m/m
Mar 10,1:00am,EUR,yellow,German Trade Balance
Mar 10,1:59am,CHF,yellow,SECO Consumer Climate
Mar 10,All Day,EUR,yellow,Eurogroup Meetings
Mar 10,3:30am,EUR,yellow,Sentix Investor Confidence
Mar 10,3:45pm,NZD,yellow,Manufacturing Sales q/q
Mar 10,5:01pm,AUD,yellow,Westpac Consumer Sentiment
Mar 10,5:30pm,JPY,yellow,Household Spending y/y
Mar 10,5:50pm,JPY,yellow,Final GDP Price Index y/y
Mar 10,5:50pm,JPY,yellow,Final GDP q/q
Mar 10,5:50pm,JPY,yellow,M2 Money Stock y/y
