date,time,currency,impact,event
Sep 10,2:00am,EUR,yellow,Italian Industrial Production m/m
Sep 10,5:45am,CHF,orange,SNB Chairman Schlegel Speaks
Sep 10,6:30am,USD,red,Core PPI m/m
Sep 10,6:30am,USD,red,PPI m/m
Sep 10,8:00am,USD,yellow,Final Wholesale Inventories m/m
Sep 10,8:30am,USD,yellow,Crude Oil Inventories
Sep 10,11:01am,USD,yellow,10-y Bond Auction
Sep 10,5:01pm,GBP,yellow,RICS House Price Balance
Sep 10,5:15pm,NZD,red,RBNZ Gov Hawkesby Speaks
Sep 10,5:50pm,JPY,yellow,BSI Manufacturing Index
Sep 10,5:50pm,JPY,yellow,PPI y/y
Sep 10,7:00pm,AUD,yellow,MI Inflation Expectations
