date,time,currency,impact,event
Aug 1,12:00am,GBP,yellow,Nationwide HPI m/m
Aug 1,12:30am,AUD,yellow,Commodity Prices y/y
Aug 1,1:15am,EUR,yellow,Spanish Manufacturing PMI
Aug 1,1:45am,EUR,yellow,Italian Manufacturing PMI
Aug 1,1:50am,EUR,yellow,French Final Manufacturing PMI
Aug 1,1:55am,EUR,yellow,German Final Manufacturing PMI
Aug 1,2:00am,EUR,yellow,Final Manufacturing PMI
Aug 1,2:00am,EUR,yellow,Italian Retail Sales m/m
Aug 1,2:30am,GBP,yellow,Final Manufacturing PMI
Aug 1,3:00am,EUR,orange,Core CPI Flash Estimate y/y
Aug 1,3:00am,EUR,orange,CPI Flash Estimate y/y
Aug 1,6:30am,USD,red,Average Hourly Earnings m/m
Aug 1,6:30am,USD,red,Non-Farm Employment Change
Aug 1,6:30am,USD,red,Unemployment Rate
Aug 1,7:30am,CAD,yellow,Manufacturing PMI
Aug 1,7:45am,USD,yellow,Final Manufacturing PMI
Aug 1,8:00am,USD,red,ISM Manufacturing PMI
Aug 1,8:00am,USD,orange,ISM Manufacturing Prices
Aug 1,8:00am,USD,orange,Revised UoM Consumer Sentiment
Aug 1,8:00am,USD,yellow,Construction Spending m/m
Aug 1,8:00am,USD,yellow,Revised UoM Inflation Expectations
Aug 1,All Day,USD,yellow,Wards Total Vehicle Sales
Aug 3,All Day,AUD,gray,Bank Holiday
Aug 3,5:50pm,JPY,yellow,Monetary Base y/y
Aug 3,7:00pm,AUD,yellow,MI Inflation Gauge m/m
Aug 4,12:30am,CHF,red,CPI m/m
Aug 4,1:00am,EUR,yellow,Spanish Unemployment Change
Aug 4,1:30am,CHF,yellow,Manufacturing PMI
Aug 4,2:30am,EUR,yellow,Sentix Investor Confidence
Aug 4,All Day,CAD,gray,Bank Holiday
Aug 4,8:00am,USD,yellow,Factory Orders m/m
Aug 4,12:00pm,USD,yellow,Loan Officer Survey
Aug 4,5:50pm,JPY,yellow,Monetary Policy Meeting Minutes
Aug 4,7:00pm,NZD,yellow,ANZ Commodity Prices m/m
Aug 4,7:30pm,AUD,yellow,ANZ Job Advertisements m/m
