date,time,currency,impact,event
Sep 1,12:00am,GBP,yellow,Nationwide HPI m/m
Sep 1,12:30am,AUD,yellow,Commodity Prices y/y
Sep 1,12:30am,CHF,yellow,Retail Sales y/y
Sep 1,1:15am,EUR,yellow,Spanish Manufacturing PMI
Sep 1,1:30am,CHF,yellow,Manufacturing PMI
Sep 1,1:45am,EUR,yellow,Italian Manufacturing PMI
Sep 1,1:50am,EUR,yellow,French Final Manufacturing PMI
Sep 1,1:55am,EUR,yellow,German Final Manufacturing PMI
Sep 1,2:00am,EUR,yellow,Final Manufacturing PMI
Sep 1,2:00am,EUR,yellow,Italian Monthly Unemployment Rate
Sep 1,2:30am,GBP,yellow,Final Manufacturing PMI
Sep 1,2:30am,GBP,yellow,M4 Money Supply m/m
Sep 1,2:30am,GBP,yellow,Mortgage Approvals
Sep 1,2:30am,GBP,yellow,Net Lending to Individuals m/m
Sep 1,3:00am,EUR,yellow,Unemployment Rate
Sep 1,All Day,CAD,gray,Bank Holiday
Sep 1,All Day,USD,gray,Bank Holiday
Sep 1,4:45pm,NZD,yellow,Overseas Trade Index q/q
Sep 1,5:50pm,JPY,yellow,Monetary Base y/y
Sep 1,7:30pm,AUD,yellow,Current Account
Sep 1,9:35pm,JPY,yellow,10-y Bond Auction
Sep 2,12:45am,EUR,yellow,French Gov Budget Balance
Sep 2,1:00am,EUR,yellow,Spanish Unemployment Change
Sep 2,3:00am,EUR,orange,Core CPI Flash Estimate y/y
Sep 2,3:00am,EUR,orange,CPI Flash Estimate y/y
Sep 2,7:30am,CAD,yellow,Manufacturing PMI
Sep 2,7:45am,USD,yellow,Final Manufacturing PMI
Sep 2,8:00am,EUR,yellow,German Buba President Nagel Speaks
Sep 2,8:00am,USD,red,ISM Manufacturing PMI
Sep 2,8:00am,USD,orange,ISM Manufacturing Prices
Sep 2,8:00am,USD,yellow,Construction Spending m/m
Sep 2,8:05am,USD,yellow,RCM/TIPP Economic Optimism
Sep 2,9:08am,NZD,yellow,GDT Price Index
Sep 2,12:00pm,USD,orange,President Trump Speaks
Sep 2,7:00pm,NZD,yellow,ANZ Commodity Prices m/m
Sep 2,7:30pm,AUD,red,GDP q/q
Sep 2,7:45pm,CNY,yellow,RatingDog Services PMI
Sep 3,1:15am,EUR,yellow,Spanish Services PMI
Sep 3,1:30am,EUR,orange,ECB President Lagarde Speaks
Sep 3,1:45am,EUR,yellow,Italian Services PMI
Sep 3,1:50am,EUR,yellow,French Final Services PMI
Sep 3,1:55am,EUR,yellow,German Final Services PMI
Sep 3,2:00am,AUD,red,RBA Gov Bullock Speaks
Sep 3,2:00am,EUR,yellow,Final Services PMI
Sep 3,2:15am,GBP,yellow,MPC Member Breeden Speaks
Sep 3,2:30am,GBP,yellow,Final Services PMI
Sep 3,3:00am,EUR,yellow,PPI m/m
Sep 3,3:32am,EUR,yellow,German 10-y Bond Auction
Sep 3,6:30am,CAD,yellow,Labor Productivity q/q
Sep 3,7:00am,USD,yellow,FOMC Member Musalem Speaks
Sep 3,7:15am,GBP,red,Monetary Policy Report Hearings
Sep 3,8:00am,USD,red,JOLTS Job Openings
Sep 3,8:00am,USD,yellow,Factory Orders m/m
Sep 3,All Day,USD,yellow,Wards Total Vehicle Sales
Sep 3,11:30am,USD,yellow,FOMC Member Kashkari Speaks
Sep 3,12:00pm,USD,yellow,Beige Book
